BWV,Date,Title,Instruments,JEG CD,Wikipedia,IMSLP,Bach Digital
792,1725-01-22,Sinfonias and Inventions No. 21 – Sinfonia No. 6 = WFB No. 60: Fantasia 12,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_E_major,_BWV_792_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000924?lang=en
793,1720-01-22,Sinfonias and Inventions No. 22 – Sinfonia No. 7 = WFB No. 51: Fantasia 3,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_E_minor,_BWV_793_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000925?lang=en
793,1725-01-22,Sinfonias and Inventions No. 22 – Sinfonia No. 7 = WFB No. 51: Fantasia 3,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_E_minor,_BWV_793_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000925?lang=en
794,1720-01-22,Sinfonias and Inventions No. 23 – Sinfonia No. 8 = WFB No. 52: Fantasia 4,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_F_major,_BWV_794_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000926?lang=en
794,1725-01-22,Sinfonias and Inventions No. 23 – Sinfonia No. 8 = WFB No. 52: Fantasia 4,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_F_major,_BWV_794_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000926?lang=en
795,1720-01-22,Sinfonias and Inventions No. 24 – Sinfonia No. 9 = WFB No. 59: Fantasia 11,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_F_minor,_BWV_795_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000927?lang=en
795,1725-01-22,Sinfonias and Inventions No. 24 – Sinfonia No. 9 = WFB No. 59: Fantasia 11,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_F_minor,_BWV_795_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000927?lang=en
796,1720-01-22,Sinfonias and Inventions No. 25 – Sinfonia No. 10 = WFB No. 53: Fantasia 5,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_G_major,_BWV_796_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000928?lang=en
796,1725-01-22,Sinfonias and Inventions No. 25 – Sinfonia No. 10 = WFB No. 53: Fantasia 5,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_G_major,_BWV_796_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000928?lang=en
797,1720-01-22,Sinfonias and Inventions No. 26 – Sinfonia No. 11 = WFB No. 58: Fantasia 10,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_G_minor,_BWV_797_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000929?lang=en
797,1725-01-22,Sinfonias and Inventions No. 26 – Sinfonia No. 11 = WFB No. 58: Fantasia 10,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_G_minor,_BWV_797_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000929?lang=en
798,1720-01-22,Sinfonias and Inventions No. 27 – Sinfonia No. 12 = WFB No. 57: Fantasia 9,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_A_major,_BWV_798_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000930?lang=en
798,1725-01-22,Sinfonias and Inventions No. 27 – Sinfonia No. 12 = WFB No. 57: Fantasia 9,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_A_major,_BWV_798_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000930?lang=en
799,1720-01-22,Sinfonias and Inventions No. 28 – Sinfonia No. 13 = WFB No. 54: Fantasia 6,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_A_minor,_BWV_799_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000931?lang=en
799,1725-01-22,Sinfonias and Inventions No. 28 – Sinfonia No. 13 = WFB No. 54: Fantasia 6,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_A_minor,_BWV_799_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000931?lang=en
800,1720-01-22,Sinfonias and Inventions No. 29 – Sinfonia No. 14 = WFB No. 56: Fantasia 8,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_B-flat_major,_BWV_800_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000932?lang=en
800,1725-01-22,Sinfonias and Inventions No. 29 – Sinfonia No. 14 = WFB No. 56: Fantasia 8,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_B-flat_major,_BWV_800_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000932?lang=en
801,1720-01-22,Sinfonias and Inventions No. 30 – Sinfonia No. 15 = WFB No. 55: Fantasia 7,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_B_minor,_BWV_801_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000933?lang=en
801,1725-01-22,Sinfonias and Inventions No. 30 – Sinfonia No. 15 = WFB No. 55: Fantasia 7,Keyboard,,https://en.wikipedia.org/wiki/Inventions_and_Sinfonias_(Bach),"https://imslp.org/wiki/Sinfonia_in_B_minor,_BWV_801_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000933?lang=en
1046,1721-03-24,Brandenburg Concerto No. 1,2Nho 3Ob Bas Vlp Str Bc,,https://en.wikipedia.org/wiki/BWV_1046,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001228?lang=en
1047,1721-03-24,Brandenburg Concerto No. 2,Tr Fl Ob Vl Str Vne Bc,,https://en.wikipedia.org/wiki/BWV_1047,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001230?lang=en
1048,1721-03-24,Brandenburg Concerto No. 3,3Vl 3Vla 3Vc Vne Hc,24.0,https://en.wikipedia.org/wiki/BWV_1048,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001231?lang=en
1049,1721-03-24,Brandenburg Concerto No. 4,Vl 2Fl Str Vc Vne Bc,,https://en.wikipedia.org/wiki/BWV_1049,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001232?lang=en
1050,1721-03-24,Brandenburg Concerto No. 5,Fl Vl Hc Vl Va Vc Vne,,https://en.wikipedia.org/wiki/BWV_1050,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001233?lang=en
1051,1721-03-24,Brandenburg Concerto No. 6,2Vla 2Gam Vc Vne Hc,,https://en.wikipedia.org/wiki/BWV_1051,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001235?lang=en
1073,1713-08-02,Canon â 4. Voc: perpetuus,4V,,"https://en.wikipedia.orghttps://imslp.org/wiki/Canon_in_A_minor,_BWV_1073_(Bach,_Johann_Sebastian)",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001259?lang=en
1075,1734-01-10,Canon a 2. perpetuus,2V,,"https://en.wikipedia.orghttps://imslp.org/wiki/Canon_in_D_major,_BWV_1075_(Bach,_Johann_Sebastian)",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001261?lang=en
1077,1747-10-15,Canone doppio sopr' il soggetto (dedicated to Johann Fulde [de]),4V Bc,,"https://en.wikipedia.orghttps://imslp.org/wiki/Canon_in_G_major,_BWV_1077_(Bach,_Johann_Sebastian)",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001263?lang=en
1078,1749-03-01,"Canon Fa Mi, et Mi Fa est Tota Musica, a.k.a. Canon super Fa Mi, a 7. post Tempus Musicum",7V Bc,,"https://en.wikipedia.orghttps://imslp.org/wiki/Canon_in_F_major,_BWV_1078_(Bach,_Johann_Sebastian)",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001264?lang=en
1079,1747-07-07,Musical Offering,Kb Fl 2Vl Bc,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001265?lang=en
1127,1713-10-30,"Aria ""Alles mit Gott und nichts ohn' ihn""",s Str Bc,,"https://en.wikipedia.org/wiki/Alles_mit_Gott_und_nichts_ohn%27_ihn,_BWV_1127",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001307?lang=en
1128,1725-08-27,Chorale fantasia Wo Gott der Herr nicht bei uns hält,Organ,,"https://en.wikipedia.org/wiki/Wo_Gott_der_Herr_nicht_bei_uns_h%C3%A4lt,_BWV_1128",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001725?lang=en
1135,1724-03-25,"Cantata Siehe, eine Jungfrau ist schwanger (25 March: Annunciation)",,,https://en.wikipedia.org/wiki/Annunciation,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001510?lang=en
1136,1725-09-09,"Cantata Liebster Gott, vergißt du mich (1711: libretto for Trin. VII; 1725: Trin. XV?; 1727, with BWV 157.1: funeral in Pomßen)",,,https://en.wikipedia.org/wiki/BWV_157.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001520?lang=en
1136,1727-02-06,"Cantata Liebster Gott, vergißt du mich (1711: libretto for Trin. VII; 1725: Trin. XV?; 1727, with BWV 157.1: funeral in Pomßen)",,,https://en.wikipedia.org/wiki/BWV_157.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001520?lang=en
1137,1729-10-23,"Cantata (sketch: Gott, du Richter der Gedanken for Trinity XIX by Picander?)",SATB Vl Str Bc,,https://en.wikipedia.org/wiki/Picander,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001309?lang=en
1138.1,1709-02-04,Cantata for Ratswahl in Mühlhausen No. 2,,,https://en.wikipedia.org/wiki/BWV_1138.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001503?lang=en
1138.2,1710-02-04,Cantata for Ratswahl in Mühlhausen No. 3,,,https://en.wikipedia.org/wiki/BWV_1138.2,,http://www.bachdigital.de/receive/BachDigitalWork_work_00011382?lang=en
1139.1,1725-08-27,Cantata Wünschet Jerusalem Glück (council election),,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001311?lang=en
1139.2,1730-06-27,Cantata Wünschet Jerusalem Glück (200th anniversary of the Augsburg Confession),,,https://en.wikipedia.org/wiki/Augsburg_Confession,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001312?lang=en
1140,1730-08-25,"Cantata Gott, gib dein Gerichte dem Könige (council election)",,,https://en.wikipedia.org/wiki/BWV_1140,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001310?lang=en
1141,1740-08-29,"Cantata Herrscher des Himmels, König der Ehren (council election)",,,https://en.wikipedia.org/wiki/Church_cantata_(Bach)#New_council,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001504?lang=en
1142,1716-04-02,"Cantata Was ist, das wir Leben nennen (funeral service for Johann Ernst of S.-W.)",,,https://en.wikipedia.org/wiki/Prince_Johann_Ernst_of_Saxe-Weimar,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001531?lang=en
1143,1729-03-24,"Cantata Klagt, Kinder, klagt es aller Welt (funeral of Leopold of Anhalt-Köthen; music lost but partially reconstructible)",,,https://en.wikipedia.org/wiki/BWV_244a,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000305?lang=en
1144,1725-02-12,Cantata Sein Segen fließt daher wie ein Strom (wedding),,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001322?lang=en
1145,1729-01-18,"Cantata Der Herr ist freundlich dem, der auf ihn harret (wedding)",,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001522?lang=en
1146,1729-07-26,"Cantata Vergnügende Flammen, verdoppelt die Macht (wedding)",,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001523?lang=en
1147,1718-12-10,"Cantata Lobet den Herrn, alle seine Heerscharen (birthday of Leopold of A.-K.)",,,https://en.wikipedia.org/wiki/BWV_1147,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001313?lang=en
1148,1724-04-27,"Cantata Siehe, der Hüter Israel (doctorate)",SATB 3Tr Tmp 2Ob 3Vl Va Bc,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001323?lang=en
1150,1721-01-01,Cantata Ihr wallenden Wolken (New Year),b 2Fl Str Vc Hc Bc,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001508?lang=en
1150,1722-01-01,Cantata Ihr wallenden Wolken (New Year),b 2Fl Str Vc Hc Bc,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001508?lang=en
1151,1720-01-01,Secular cantata Dich loben die lieblichen Strahlen der Sonne (New Year),,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001314?lang=en
1152,1723-01-01,Secular cantata for New Year (congratulation of Leopold of Anhalt-Köthen and his wife Frederica Henriette),,,"https://en.wikipedia.org/wiki/Leopold,_Prince_of_Anhalt-K%C3%B6then",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001316?lang=en
1153,1720-12-10,Secular cantata Heut ist gewiß ein guter Tag (birthday of Leopold of Anhalt-Köthen),,,"https://en.wikipedia.org/wiki/Leopold,_Prince_of_Anhalt-K%C3%B6then",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001315?lang=en
1154,1722-07-29,Cantata O vergnügte Stunden (birthday of John Augustus of Anhalt-Zerbst),,,"https://en.wikipedia.org/wiki/John_Augustus,_Prince_of_Anhalt-Zerbst",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001505?lang=en
1155,1723-08-09,Ode in Latin (birthday of Frederick II of Saxe-Gotha),,,"https://en.wikipedia.org/wiki/Frederick_II,_Duke_of_Saxe-Gotha-Altenburg",,http://www.bachdigital.de/receive/BachDigitalWork_work_00001328?lang=en
1156,1727-05-12,"Secular cantata Entfernet euch, ihr heitern Sterne (57th birthday of Augustus II)",,,https://en.wikipedia.org/wiki/BWV_1156,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001317?lang=en
1157,1732-08-03,"Secular cantata Es lebe der König, der Vater im Lande (name day of Augustus II)",,,https://en.wikipedia.org/wiki/BWV_1157,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001319?lang=en
1158,1733-08-03,"Secular cantata Frohes Volk, vergnügte Sachsen (name day of Augustus III)",,,https://en.wikipedia.org/wiki/Augustus_III_of_Poland,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001320?lang=en
1159,1739-10-07,"Secular cantata ""Serenade"" (birthday of Augustus III)",,,https://en.wikipedia.org/wiki/Augustus_III_of_Poland,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001536?lang=en
1160,1731-08-25,"Secular cantata So kämpfet nur, ihr muntern Töne (birthday of Joachim Friedrich von Flemming [de])",,,https://en.wikipedia.org/w/index.php?title=Joachim_Friedrich_von_Flemming&action=edit&redlink=1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001318?lang=en
1161,1738-04-28,"Secular cantata Willkommen! Ihr herrschenden Götter der Erden in honour of the royal couple (Augustus III and Maria Josepha), and for the forthcoming marriage of princess Maria Amalia with Charles of Sicily",,,https://en.wikipedia.org/wiki/Augustus_III_of_Poland,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001321?lang=en
1162,1732-06-05,"Secular cantata Froher Tag, verlangte Stunden (inauguration of St. Thomas school after renovation)",,,https://en.wikipedia.org/wiki/BWV_1162,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001326?lang=en
1163,1725-11-27,"Secular cantata Auf, süß entzückende Gewalt (wedding of Peter, eldest son of Peter Hohmann, and Christiana Sibylla Mencke)",,,https://en.wikipedia.org/w/index.php?title=Peter_von_Hohenthal_(geheimer_Kriegsrat)&action=edit&redlink=1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001507?lang=en
I 1,1725-07-15,Cantata Gesegnet ist die Zuversicht (Trinity VII),SATB 2Fl Str Bc,12.0,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001308?lang=en
I 16,1735-11-09,Cantata Schließt die Gruft! ihr Trauerglocken (mourning of Hedwig of Merseburg),,2.0,https://en.wikipedia.org/wiki/Hedwig_of_Mecklenburg-G%C3%BCstrow,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001324?lang=en
I 19,1734-11-21,Secular cantata Thomana saß annoch betrübt (welcome to Johann August Ernesti as new rector of St. Thomas school),,42.0,https://en.wikipedia.org/wiki/Johann_August_Ernesti,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001327?lang=en
N 190,1729-04-18,Cantata Ich bin ein Pilgrim auf der Welt (Easter 2),b Bc ...,56.0,https://en.wikipedia.org/wiki/BWV_Anh._190,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001501?lang=en
N 191,1715-05-19,Cantata Leb ich oder leb ich nicht (Cantate),,1.0,https://en.wikipedia.org/wiki/Cantate_Sunday,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001502?lang=en
N 195,1723-06-09,"Secular cantata Murmelt nur, ihr heitern Bäche (celebration of Johann Florenz Rivinus [de])",,,https://en.wikipedia.org/w/index.php?title=Johann_Florenz_Rivinus&action=edit&redlink=1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001506?lang=en
N 210,1734-10-04,Cantata Wo sind meine Wunderwerke [it] (leave-taking of Johann Matthias Gesner),,,https://en.wikipedia.org/w/index.php?title=BWV_Anh._210&action=edit&redlink=1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001521?lang=en
246,1730-04-07,Passion St Luke Passion,ssatbSATB 2Fl 2Ob Tai Bas Str Bc,,,"https://imslp.org/wiki/Lukaspassion,_BWV_246_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000311?lang=en
15,1726-04-21,Cantata Denn du wirst meine Seele nicht in der Hölle lassen (Easter),satbSATB 3Tr Tmp Str Bc,,https://en.wikipedia.org/wiki/BWV_15,"https://imslp.org/wiki/Denn_du_wirst_meine_Seele_nicht_in_der_H%C3%B6lle_lassen,_JLB_21_(Bach,_Johann_Ludwig)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000017?lang=en
8/6,1724-09-24,Chorale Herrscher über Tod und Leben,SATB Hn fl 2Oba Str Bc,43.0,https://en.wikipedia.org/wiki/BWV_8,"https://imslp.org/wiki/Liebster_Gott,_wenn_werd_ich_sterben%3F,_BWV_8_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000009?lang=en
III 17027/6,1726-10-06,"Chorale Welt, ade, ich bin dein müde",SSATB Hn 2Ob Str Bc,,"https://en.wikipedia.org/wiki/Welt,_ade!_Ich_bin_dein_m%C3%BCde","https://imslp.org/wiki/Wer_wei%C3%9F,_wie_nahe_mir_mein_Ende,_BWV_27_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00001481?lang=en
43/11,1726-05-30,"Chorale Du lebensfürst, Herr Jesu Christ",SATB 3Tr 2Ob Str Bc,20.0,https://en.wikipedia.org/wiki/BWV_43,"https://imslp.org/wiki/Gott_f%C3%A4hret_auf_mit_Jauchzen,_BWV_43_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000058?lang=en
deest,1717-03-28,Passion Weimarer Passion,?stbSATB 2Fl 2Ob Str Bc,,,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001533?lang=en
deest,1726-04-19,"Passion Jesus Christus ist um unsrer Missetat willen verwundet (St Mark Passion pastiche, 1st Leipzig version)",SATB 2Vl 2Va Org,,https://en.wikipedia.org/wiki/St_Mark_Passion_pastiche,,http://www.bachdigital.de/receive/BachDigitalWork_work_00001535?lang=en
,1720-01-22,"Klavierbüchlein WFB, p. 3a: Claves signatae (introduction on clefs)",,,https://en.wikipedia.org/wiki/Klavierb%C3%BCchlein_f%C3%BCr_Wilhelm_Friedemann_Bach,,
,1720-01-22,"Klavierbüchlein WFB, p. 3b: Explication... (introduction on ornaments)",,,https://en.wikipedia.org/wiki/Klavierb%C3%BCchlein_f%C3%BCr_Wilhelm_Friedemann_Bach,,
